event_id,match_id,match_label,period,time_start,time_end,frame_start,frame_end,player_id,player_name,team_id,team_shortname,event_subtype,x_start,y_start,x_end,y_end,channel_start,channel_end,third_start,third_end,penalty_area_start,penalty_area_end,distance_covered,speed_avg,speed_avg_band,trajectory_direction,targeted,received,received_in_space,dangerous,xthreat,team_in_possession_phase_type,team_out_of_possession_phase_type,high_intensity
1_131,2015213,Western United v Auckland FC,1,26:27.1,26:28.5,18081,18095,582974,M. Francois,4177,Auckland FC,support,40.74,29.53,47.0,29.32,wide_left,wide_left,attacking_third,attacking_third,False,False,6.26,16.03,running,forward,0.0,0.0,,0.0,0.0161,finish,low_block,False
1_132,2015213,Western United v Auckland FC,1,26:51.6,26:52.9,18326,18339,795529,M. Ruhs,1803,Western United,coming_short,-5.28,-4.17,-6.1,2.36,center,center,middle_third,middle_third,False,False,6.19,15.61,running,sideway_left,1.0,1.0,0.0,0.0,0.001,build_up,high_block,False
1_133,2015213,Western United v Auckland FC,1,26:51.7,26:54.8,18327,18358,560917,R. Bozinovski,1803,Western United,support,-28.59,-0.67,-11.84,1.13,center,center,defensive_third,middle_third,False,False,16.5,19.53,running,forward,1.0,1.0,0.0,0.0,0.0063,create,medium_block,False
1_134,2015213,Western United v Auckland FC,1,26:52.4,26:54.4,18334,18354,795527,M. Grimaldi,1803,Western United,support,-19.12,13.43,-8.3,10.58,half_space_left,half_space_left,defensive_third,middle_third,False,False,11.49,20.6,hsr,forward,0.0,0.0,,1.0,0.0258,create,medium_block,True
1_135,2015213,Western United v Auckland FC,1,26:56.5,27:02.2,18375,18432,23922,B. Garuccio,1803,Western United,support,-20.42,24.27,19.19,29.15,wide_left,wide_left,defensive_third,attacking_third,False,False,39.95,27.56,sprinting,forward,0.0,0.0,,0.0,0.0041,chaotic,chaotic,True
1_136,2015213,Western United v Auckland FC,1,26:56.5,27:02.2,18375,18432,795527,M. Grimaldi,1803,Western United,behind,5.09,6.16,34.46,16.02,center,half_space_left,middle_third,attacking_third,False,False,31.01,20.19,hsr,forward,1.0,0.0,,0.0,0.018,chaotic,chaotic,True
1_137,2015213,Western United v Auckland FC,1,27:29.9,27:31.2,18709,18722,38673,G. May,4177,Auckland FC,pulling_half_space,13.4,-10.56,11.69,-16.08,half_space_right,half_space_right,middle_third,middle_third,False,False,5.37,15.9,running,sideway_right,0.0,0.0,,0.0,0.0045,create,medium_block,False
1_138,2015213,Western United v Auckland FC,1,27:48.1,27:53.9,18891,18949,163972,M. Mata,4177,Auckland FC,cross_receiver,8.42,-28.39,38.65,-7.09,wide_right,center,middle_third,attacking_third,False,True,37.25,22.22,hsr,forward,0.0,0.0,,1.0,0.0709,finish,low_block,True
1_139,2015213,Western United v Auckland FC,1,27:48.4,27:53.0,18894,18940,582974,M. Francois,4177,Auckland FC,cross_receiver,14.22,2.57,40.99,-4.6,center,center,middle_third,attacking_third,False,True,27.9,21.24,hsr,forward,0.0,0.0,,1.0,0.1609,finish,low_block,True
1_140,2015213,Western United v Auckland FC,1,27:54.9,27:56.0,18959,18970,133501,L. Rogerson,4177,Auckland FC,support,32.28,-14.29,36.54,-17.23,half_space_right,half_space_right,attacking_third,attacking_third,False,True,4.84,16.98,running,forward,0.0,0.0,,1.0,0.0254,finish,low_block,False
