match_label,event_id,match_id,period,time_start,time_end,minute_start,second_start,frame_start,frame_end,event_type,event_subtype,player_id,player_name,player_in_possession_id,player_in_possession_name,player_in_possession_x_start,player_in_possession_y_start,player_in_possession_x_end,player_in_possession_y_end,team_id,team_shortname,x_start,y_start,x_end,y_end,channel_start,channel_end,third_start,third_end,penalty_area_start,penalty_area_end,distance_covered,speed_avg,speed_avg_band,trajectory_direction,pass_outcome,pass_distance,pass_range,targeted,received,received_in_space,dangerous,difficult_pass_target,xthreat,xpass_completion,passing_option_score,n_passing_options,n_off_ball_runs,n_opponents_bypassed,associated_off_ball_run_event_id,associated_off_ball_run_subtype,team_in_possession_phase_type,team_out_of_possession_phase_type
Melbourne V FC v Auckland FC,7_7,2017461,1,00:13.4,00:15.8,0,13,2644,2668,passing_option,,11885,D. Arzani,50955.0,N. Velupillay,38.09,27.33,50.01,16.18,868,Melbourne V FC,31.35,3.28,40.14,7.68,center,center,attacking_third,attacking_third,False,True,10.31,15.4,running,forward,,,,0.0,0.0,,1.0,1.0,0.0403,0.4421,0.8486,,,-5.0,1_4,cross_receiver,finish,low_block
Melbourne V FC v Auckland FC,7_8,2017461,1,00:15.6,00:15.8,0,15,2666,2668,passing_option,,159688,J. Valadon,50955.0,N. Velupillay,49.11,17.06,50.01,16.18,868,Melbourne V FC,26.91,15.41,27.28,14.99,half_space_left,half_space_left,attacking_third,attacking_third,False,False,1.2,,,sideway_right,,,,1.0,0.0,,1.0,1.0,0.0317,0.1157,0.1333,,,-8.0,,,finish,low_block
Melbourne V FC v Auckland FC,9_6,2017461,1,00:35.7,00:36.2,0,35,2867,2872,on_ball_engagement,pressure,50955,N. Velupillay,582974.0,M. Francois,,,,,868,Melbourne V FC,37.6,19.9,38.32,18.25,half_space_left,half_space_left,attacking_third,attacking_third,False,False,1.43,12.84,jogging,sideway_right,,,,,,,,,,,,,,,,,disruption,disruption
Melbourne V FC v Auckland FC,8_6,2017461,1,00:35.8,00:36.2,0,35,2868,2872,player_possession,,582974,M. Francois,,,,,,,4177,Auckland FC,-36.0,-14.05,-37.13,-15.69,half_space_right,half_space_right,defensive_third,defensive_third,False,False,2.25,,,sideway_right,,,,,,,,,,,,0.0,0.0,,,,disruption,disruption
Melbourne V FC v Auckland FC,9_7,2017461,1,00:38.0,00:42.4,0,38,2930,2934,on_ball_engagement,other,23418,F. Gallegos,157294.0,R. Teague,,,,,4177,Auckland FC,1.12,-28.83,4.27,-29.09,wide_right,wide_right,middle_third,middle_third,False,False,34.31,27.98,sprinting,forward,,,,,,,,,,,,,,,,,chaotic,chaotic
Melbourne V FC v Auckland FC,8_7,2017461,1,00:42.4,00:42.4,0,42,2934,2934,player_possession,,157294,R. Teague,,,,,,,868,Melbourne V FC,-8.13,31.14,-8.13,31.14,wide_left,wide_left,middle_third,middle_third,False,False,0.0,24.31,hsr,backward,successful,23.64,medium,,,,,,,,,2.0,0.0,0.0,,,chaotic,chaotic
Melbourne V FC v Auckland FC,7_9,2017461,1,00:42.4,00:42.4,0,42,2934,2934,passing_option,,51678,J. Duncan,157294.0,R. Teague,-8.13,31.14,-8.13,31.14,868,Melbourne V FC,-34.11,5.39,-34.11,5.39,center,center,defensive_third,defensive_third,False,False,0.0,,,backward,,23.64,medium,1.0,1.0,1.0,0.0,0.0,0.0,0.9848,0.8214,,,0.0,,,chaotic,chaotic
Melbourne V FC v Auckland FC,7_10,2017461,1,00:42.4,00:42.4,0,42,2934,2934,passing_option,,159688,J. Valadon,157294.0,R. Teague,-8.13,31.14,-8.13,31.14,868,Melbourne V FC,-14.53,9.8,-14.53,9.8,half_space_left,half_space_left,middle_third,middle_third,False,False,0.0,22.73,hsr,backward,,,,0.0,0.0,,0.0,0.0,0.0002,0.967,0.9244,,,0.0,,,chaotic,chaotic
Melbourne V FC v Auckland FC,8_8,2017461,1,00:46.3,00:47.3,0,46,2973,2983,player_possession,,51678,J. Duncan,,,,,,,868,Melbourne V FC,-40.81,2.45,-41.5,1.84,center,center,defensive_third,defensive_third,False,False,0.93,,,backward,unsuccessful,,,,,,,,,,,5.0,0.0,9.0,,,direct,defending_direct
Melbourne V FC v Auckland FC,7_11,2017461,1,00:46.8,00:47.3,0,46,2978,2983,passing_option,,51685,L. Jackson,51678.0,J. Duncan,-41.26,2.12,-41.5,1.84,868,Melbourne V FC,4.18,8.37,2.4,7.91,center,center,middle_third,middle_third,False,False,1.46,,,backward,,,,0.0,0.0,,0.0,0.0,0.0004,0.7663,0.8307,,,6.0,,,direct,defending_direct
